"","SITECODE","PERIOD","Site_P","COMMENTS","Start","End","RANGE","MID"
"323","FRZ06",3,"FRZ06-3","",NA,NA,NA,NA
"324","FRZ06",4,"FRZ06-4","",NA,NA,NA,NA
"325","FSQ98",1,"FSQ98-1","NATURAL BRICKEARTH AT 11.73 - NO GRAVEL OBSERVED",NA,NA,NA,NA
"326","FSU99",1,"FSU99-1","NATURAL GRAVELS (UP TO 11.54M OD), BELOW NATURAL BRICKEARTH (UP TO 12.29M OD).",NA,NA,NA,NA
"327","FSU99",2,"FSU99-2","PRE AD1477? INDETERMINATE - ROBBER? CUT - PRE-QUARRYING.",NA,1477,NA,NA
"328","FUA02",0,"FUA02-0","",NA,NA,NA,NA
"329","FUA02",1,"FUA02-1","NATURAL GEOLOGY",NA,NA,NA,NA
"330","GAF04",1,"GAF04-1","NATURAL DEPOSITS PLUS REDEPOSITED AND POSSIBLE WATER CHANNEL OA1",NA,NA,NA,NA
"331","GAF04",2,"GAF04-2","PRE 17TH C ACTIVITY OA2-3",NA,1600,NA,NA
"332","GAG87",1,"GAG87-1","Natural topography and stream tributaries (pre-Roman)",NA,43,NA,NA
"333","GAH95",0,"GAH95-0","Natural",NA,NA,NA,NA
"334","GAH95",1,"GAH95-1","Upto AD 43",NA,43,NA,NA
"335","GAM88",1,"GAM88-1","",NA,NA,NA,NA
"336","GAM88",10,"GAM88-10","",NA,NA,NA,NA
"337","GAM88",2,"GAM88-2","",NA,NA,NA,NA
"338","GAM88",5,"GAM88-5","",NA,NA,NA,NA
"339","GAM88",6,"GAM88-6","",NA,NA,NA,NA
"340","GAM88",7,"GAM88-7","",NA,NA,NA,NA
"341","GAM88",8,"GAM88-8","",NA,NA,NA,NA
"342","GAS88",0,"GAS88-0","",NA,NA,NA,NA
"343","GAS88",1,"GAS88-1","Topography and prehistoric activity",NA,43,NA,NA
"344","GBP93",0,"GBP93-0","",NA,NA,NA,NA
"345","GDA06",0,"GDA06-0","",NA,NA,NA,NA
"346","GDA06",1,"GDA06-1","THE PERIOD UP TO 1270
NO FEATURES",NA,1270,NA,NA
"347","GDV96",1,"GDV96-1","NATURAL GEOLOGY",NA,NA,NA,NA
"348","GHB06",1,"GHB06-1","",NA,NA,NA,NA
"349","GHB06",2,"GHB06-2","",NA,NA,NA,NA
"350","GHB06",4,"GHB06-4","",NA,NA,NA,NA
"351","GHB06",6,"GHB06-6","",NA,NA,NA,NA
"352","GHD90",0,"GHD90-0","",NA,NA,NA,NA
"353","GHL89",1,"GHL89-1","Natural",NA,NA,NA,NA
"354","GHM05",1,"GHM05-1","NATURAL GEOLOGY AND NATURAL FEATURES",NA,NA,NA,NA
"355","GHM05",11,"GHM05-11","",NA,NA,NA,NA
"356","GHR82",0,"GHR82-0","",NA,NA,NA,NA
"357","GHR82",1,"GHR82-1","Natural",NA,NA,NA,NA
"358","GHT00",0,"GHT00-0","",NA,NA,NA,NA
"359","GHT00",1,"GHT00-1","NATURAL GEOLOGY BE/GRAVEL",NA,NA,NA,NA
"360","GIM07",0,"GIM07-0","",NA,NA,NA,NA
"361","GLB96",1,"GLB96-1","PRE C. 1580, ALLUVIUM AND MED/POST MED LAND RECLAMATION",NA,1580,NA,NA
"362","GL-FAI00",0,"GL-FAI00-0","NATURAL OR UNDATED FEATURES",NA,NA,NA,NA
"363","GLS06",0,"GLS06-0","",NA,NA,NA,NA
"364","GLS06",1,"GLS06-1","CHANGES IN NATURAL CONDITIONS ON THE SITE AS IT BEGAN TO SILT UP FROM THE ROMAN PERIOD",43,NA,NA,NA
"365","GLY01",1,"GLY01-1","THE PRE ROMAN PERIOD 
NATURAL DEPOSITS ONLY",NA,43,NA,NA
"366","GLY01",4,"GLY01-4","MONASTIC 
1370-1538",NA,1538,NA,NA
"367","GM160",10,"GM160-10","",NA,NA,NA,NA
"368","GM160",11,"GM160-11","",NA,NA,NA,NA
"369","GM160",2,"GM160-2","",NA,NA,NA,NA
"370","GM160",3,"GM160-3","",NA,NA,NA,NA
"371","GM160",4,"GM160-4","",NA,NA,NA,NA
"372","GM160",5,"GM160-5","",NA,NA,NA,NA
"373","GM160",7,"GM160-7","",NA,NA,NA,NA
